lat,lng
24.454166,124.20625
24.454166,124.21875
24.470833,124.21875
24.454166,124.23125
24.470833,124.23125
24.479166,124.23125
24.4875,124.23125
24.495834,124.23125
24.420834,124.24375
24.429167,124.24375
24.4375,124.24375
24.445833,124.24375
24.454166,124.24375
24.4625,124.24375
24.495834,124.24375
24.429167,124.25625
24.4375,124.25625
24.4625,124.25625
24.470833,124.25625
24.479166,124.25625
24.4875,124.25625
24.495834,124.25625
24.4875,124.28125
24.495834,124.28125
24.504166,124.24375
24.5125,124.24375
24.504166,124.25625
24.5125,124.25625
24.504166,124.26875
24.5125,124.26875
24.504166,124.28125
24.5125,124.28125
24.529167,124.29375
24.5375,124.29375
24.554167,124.29375
24.5625,124.29375
24.5375,124.30625
24.545834,124.30625
24.570833,124.30625
24.579166,124.30625
24.5875,124.30625
24.5875,124.31875
24.604166,124.31875
24.604166,124.33125
24.645834,124.69375
24.6625,124.70625
24.295834,153.98125
24.670834,124.69375
24.670834,124.70625
24.745834,124.70625
24.754166,124.70625
24.7125,125.24375
24.720833,125.24375
24.7125,125.25625
24.720833,125.25625
24.729166,125.25625
24.745834,125.25625
24.729166,125.26875
24.7375,125.26875
24.745834,125.26875
24.729166,125.28125
24.7375,125.28125
24.745834,125.28125
24.729166,125.29375
24.7375,125.29375
24.745834,125.29375
24.7125,125.30625
24.720833,125.30625
24.729166,125.30625
24.7375,125.30625
24.745834,125.30625
24.7125,125.31875
24.720833,125.31875
24.729166,125.31875
24.7375,125.31875
24.745834,125.31875
24.720833,125.33125
24.729166,125.33125
24.7375,125.33125
24.745834,125.33125
24.729166,125.34375
24.7375,125.34375
24.745834,125.34375
24.729166,125.35625
24.7375,125.35625
24.745834,125.35625
24.729166,125.36875
24.7375,125.36875
24.745834,125.36875
24.7375,125.38125
24.745834,125.38125
24.7375,125.39375
24.745834,125.39375
24.729166,125.40625
24.7375,125.40625
24.745834,125.40625
24.729166,125.41875
24.7375,125.41875
24.745834,125.41875
24.729166,125.43125
24.7375,125.43125
24.745834,125.43125
24.820833,125.15625
24.829166,125.15625
24.8125,125.16875
24.820833,125.16875
24.829166,125.16875
24.8125,125.18125
24.820833,125.18125
24.829166,125.18125
